season,round,raceName,circuitName,country,date,lat,long,precipitation_mm,temp_max_c,wind_max_kmh
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,2024-03-02,26.0325,50.5106,0.0,21.2,14.8
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Saudi Arabia,2024-03-09,21.6319,39.1044,0.0,29.2,28.6
2024,3,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2024-03-24,-37.8497,144.968,0.0,21.4,20.4
2024,4,Japanese Grand Prix,Suzuka Circuit,Japan,2024-04-07,34.8431,136.541,0.0,21.2,12.3
2024,5,Chinese Grand Prix,Shanghai International Circuit,China,2024-04-21,31.3389,121.22,4.6,20.2,11.3
2024,6,Miami Grand Prix,Miami International Autodrome,USA,2024-05-05,25.9581,-80.2389,0.3,28.8,21.1
2024,7,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,2024-05-19,44.3439,11.7167,0.2,23.7,10.4
2024,8,Monaco Grand Prix,Circuit de Monaco,Monaco,2024-05-26,43.7347,7.42056,0.0,20.8,8.5
2024,9,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,2024-06-09,45.5,-73.5228,4.4,19.2,25.6
2024,10,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,2024-06-23,41.57,2.26111,2.8,22.1,17.5
2024,11,Austrian Grand Prix,Red Bull Ring,Austria,2024-06-30,47.2197,14.7647,0.0,29.0,13.8
2024,12,British Grand Prix,Silverstone Circuit,UK,2024-07-07,52.0786,-1.01694,2.0,16.3,20.9
2024,13,Hungarian Grand Prix,Hungaroring,Hungary,2024-07-21,47.5789,19.2486,0.2,28.5,10.9
2024,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,2024-07-28,50.4372,5.97139,0.0,19.8,13.9
2024,15,Dutch Grand Prix,Circuit Park Zandvoort,Netherlands,2024-08-25,52.3888,4.54092,5.5,18.3,36.4
2024,16,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,2024-09-01,45.6156,9.28111,19.1,30.8,21.4
2024,17,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,2024-09-15,40.3725,49.8533,0.0,26.6,25.9
2024,18,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,2024-09-22,1.2914,103.864,0.0,32.2,14.0
2024,19,United States Grand Prix,Circuit of the Americas,USA,2024-10-20,30.1328,-97.6411,0.0,29.4,13.1
2024,20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico,2024-10-27,19.4042,-99.0907,2.4,20.9,15.5
2024,21,São Paulo Grand Prix,Autódromo José Carlos Pace,Brazil,2024-11-03,-23.7036,-46.6997,17.9,21.9,15.2
2024,22,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,USA,2024-11-23,36.1147,-115.173,0.0,23.0,25.8
2024,23,Qatar Grand Prix,Losail International Circuit,Qatar,2024-12-01,25.49,51.4542,0.0,23.1,28.6
2024,24,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,2024-12-08,24.4672,54.6031,0.0,30.0,16.3
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2025-03-16,-37.8497,144.968,17.7,25.0,29.4
2025,2,Chinese Grand Prix,Shanghai International Circuit,China,2025-03-23,31.3389,121.22,2.6,27.8,20.6
2025,3,Japanese Grand Prix,Suzuka Circuit,Japan,2025-04-06,34.8431,136.541,16.9,15.9,15.4
2025,4,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,2025-04-13,26.0325,50.5106,0.0,30.2,23.5
2025,5,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Saudi Arabia,2025-04-20,21.6319,39.1044,0.0,35.7,15.1
2025,6,Miami Grand Prix,Miami International Autodrome,USA,2025-05-04,25.9581,-80.2389,2.0,29.0,11.8
2025,7,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,2025-05-18,44.3439,11.7167,1.0,21.8,24.8
2025,8,Monaco Grand Prix,Circuit de Monaco,Monaco,2025-05-25,43.7347,7.42056,0.0,22.0,11.8
2025,9,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,2025-06-01,41.57,2.26111,0.0,29.8,9.6
2025,10,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,2025-06-15,45.5,-73.5228,0.0,25.8,9.3
2025,11,Austrian Grand Prix,Red Bull Ring,Austria,2025-06-29,47.2197,14.7647,0.0,31.9,12.2
2025,12,British Grand Prix,Silverstone Circuit,UK,2025-07-06,52.0786,-1.01694,12.1,19.4,22.8
2025,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,2025-07-27,50.4372,5.97139,10.3,19.1,15.7
2025,14,Hungarian Grand Prix,Hungaroring,Hungary,2025-08-03,47.5789,19.2486,3.1,25.9,20.5
2025,15,Dutch Grand Prix,Circuit Park Zandvoort,Netherlands,2025-08-31,52.3888,4.54092,3.4,20.4,25.6
2025,16,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,2025-09-07,45.6156,9.28111,0.0,25.4,6.0
2025,17,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,2025-09-21,40.3725,49.8533,2.2,19.1,26.0
2025,18,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,2025-10-05,1.2914,103.864,1.8,30.5,16.4
2025,19,United States Grand Prix,Circuit of the Americas,USA,2025-10-19,30.1328,-97.6411,0.0,29.5,25.7
2025,20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico,2025-10-26,19.4042,-99.0907,0.0,27.2,13.7
2025,21,São Paulo Grand Prix,Autódromo José Carlos Pace,Brazil,2025-11-09,-23.7036,-46.6997,1.9,19.5,17.8
2025,22,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,USA,2025-11-23,36.1147,-115.173,0.0,18.1,7.7
2025,23,Qatar Grand Prix,Losail International Circuit,Qatar,2025-11-30,25.49,51.4542,0.0,27.0,12.5
2025,24,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,2025-12-07,24.4672,54.6031,0.0,29.9,17.0
